WIENER-CRATE-MIB::outputIndex.u501                         ,= .1.3.6.1.4.1.19947.1.3.2.1.1.501  ,= INTEGER: u500(501)
WIENER-CRATE-MIB::outputName.u501                          ,= .1.3.6.1.4.1.19947.1.3.2.1.2.501  ,= STRING: U500
WIENER-CRATE-MIB::outputGroup.u501                         ,= .1.3.6.1.4.1.19947.1.3.2.1.3.501  ,= INTEGER: 0
WIENER-CRATE-MIB::outputStatus.u501                        ,= .1.3.6.1.4.1.19947.1.3.2.1.4.501  ,= BITS: 00 01 outputAdjusting(15)
WIENER-CRATE-MIB::outputMeasurementSenseVoltage.u501       ,= .1.3.6.1.4.1.19947.1.3.2.1.5.501  ,= Opaque: Float: 0.437632 V
WIENER-CRATE-MIB::outputMeasurementTerminalVoltage.u501    ,= .1.3.6.1.4.1.19947.1.3.2.1.6.501  ,= Opaque: Float: 0.437632 V
WIENER-CRATE-MIB::outputMeasurementCurrent.u501            ,= .1.3.6.1.4.1.19947.1.3.2.1.7.501  ,= Opaque: Float: 0.000000 A
WIENER-CRATE-MIB::outputMeasurementTemperature.u501        ,= .1.3.6.1.4.1.19947.1.3.2.1.8.501  ,= INTEGER: 29 deg.C
WIENER-CRATE-MIB::outputSwitch.u501                        ,= .1.3.6.1.4.1.19947.1.3.2.1.9.501  ,= INTEGER: off(0)
WIENER-CRATE-MIB::outputVoltage.u501                       ,= .1.3.6.1.4.1.19947.1.3.2.1.10.501 ,= Opaque: Float: 1000.000000 V
WIENER-CRATE-MIB::outputCurrent.u501                       ,= .1.3.6.1.4.1.19947.1.3.2.1.12.501 ,= Opaque: Float: 0.002000 A
WIENER-CRATE-MIB::outputVoltageRiseRate.u501               ,= .1.3.6.1.4.1.19947.1.3.2.1.13.501 ,= Opaque: Float: 40.000000 V/s
WIENER-CRATE-MIB::outputVoltageFallRate.u501               ,= .1.3.6.1.4.1.19947.1.3.2.1.14.501 ,= Opaque: Float: 40.000000 V/s
WIENER-CRATE-MIB::outputSupervisionBehavior.u501           ,= .1.3.6.1.4.1.19947.1.3.2.1.15.501 ,= INTEGER: 4160
WIENER-CRATE-MIB::outputSupervisionMinSenseVoltage.u501    ,= .1.3.6.1.4.1.19947.1.3.2.1.16.501 ,= Opaque: Float: -nan V
WIENER-CRATE-MIB::outputSupervisionMaxSenseVoltage.u501    ,= .1.3.6.1.4.1.19947.1.3.2.1.17.501 ,= Opaque: Float: -nan V
WIENER-CRATE-MIB::outputSupervisionMaxTerminalVoltage.u501 ,= .1.3.6.1.4.1.19947.1.3.2.1.18.501 ,= Opaque: Float: 0.000000 V
